dataset,method,train_size,seed,target_rows,status,error,method_success,effective_generator,fallback_used,fallback_reason,fallback_stage,fallback_rows,fallback_fraction,fallback_or_refill_rows,primary_generator_rows,repair_rows,repair_fraction,repair_runtime_seconds,llm_calls,llm_attempts,llm_repair_attempts,ollama_model,ollama_temperature,ollama_top_p,ollama_num_predict,code_llm_mode,code_llm_scaffold_version,code_llm_generation_success,code_llm_compile_success,code_llm_runtime_success,code_llm_validation_success,code_llm_repair_success,code_llm_fallback_used,code_llm_fallback_reason,code_llm_failure_stage,llm_generated_rows,llm_valid_rows,llm_raw_rows,llm_valid_fraction,primary_only_rows,primary_only_fraction_of_target,primary_only_tstr_f1,primary_only_distribution_distance_mean,parse_error_count,invalid_format_rows,ctgan_epochs_used,ctgan_raw_sampled_rows,ctgan_raw_valid_rows,ctgan_raw_valid_rate,ctgan_rejection_rows,ctgan_repair_rows,ctgan_repair_fraction,fallback_only_rows,postprocessing_used,postprocessing_type,raw_valid_rate,final_valid_rate,code_path,timeout_used,provenance_primary_source,provenance_fallback_source,format_valid,schema_valid,category_valid,range_valid,constraint_valid,target_valid,duplicate_valid,privacy_valid,raw_row_count,raw_valid_row_count,final_valid_row_count,invalid_format_count,invalid_category_count,invalid_range_count,invalid_constraint_count,invalid_target_count,invalid_duplicate_count,unknown_category_rate,constraint_violation_rate,invalid_row_rate,duplicate_rate,exact_train_duplicate_rate,unique_row_fraction,removed_internal_duplicates,removed_train_duplicates,initial_valid_rows,final_valid_rows,repair_fallback_rows,repair_fallback_fraction,dedup_refill_rows,refill_attempts,repair_reason,repair_source,generation_status,raw_valid_rows,generation_runtime_seconds,majority_baseline_f1,majority_baseline_balanced_accuracy,real_train_f1,real_train_balanced_accuracy,real_train_roc_auc,utility_evaluable,utility_failure_reason,tstr_f1,tstr_balanced_accuracy,tstr_roc_auc,tstr_f1_gain_over_majority,tstr_f1_gap_to_real_train,tstr_f1_relative_to_real_train,numeric_fidelity_distance,categorical_fidelity_distance,target_distribution_distance,target_distribution_tv,correlation_distance,correlation_distance_reason,distribution_distance_mean,ks_mean,tv_mean,target_conditioned_numeric_distance,target_conditioned_categorical_distance,target_conditioned_distribution_distance,target_conditioned_missing_class_count,feature_target_mean_dependency_distance,categorical_diversity_mean,numeric_std_ratio,fairness_evaluable,fairness_failure_reason,positive_rate_male,positive_rate_female,adult_demographic_parity_difference,demographic_parity_difference_abs,real_train_adult_demographic_parity_difference,real_train_demographic_parity_difference_abs,real_test_adult_demographic_parity_difference,real_test_demographic_parity_difference_abs,dpd_abs_difference_to_real_train,dpd_abs_difference_to_real_test,validation_runtime_seconds,evaluation_runtime_seconds,generated_rows,runtime_seconds,total_runtime_seconds,raw_generated_rows,primary_only_format_valid,primary_only_schema_valid,primary_only_category_valid,primary_only_range_valid,primary_only_constraint_valid,primary_only_target_valid,primary_only_duplicate_valid,primary_only_privacy_valid,primary_only_raw_row_count,primary_only_raw_valid_row_count,primary_only_final_valid_row_count,primary_only_invalid_format_count,primary_only_invalid_category_count,primary_only_invalid_range_count,primary_only_invalid_constraint_count,primary_only_invalid_target_count,primary_only_invalid_duplicate_count,primary_only_unknown_category_rate,primary_only_constraint_violation_rate,primary_only_invalid_row_rate,primary_only_duplicate_rate,primary_only_exact_train_duplicate_rate,primary_only_unique_row_fraction,primary_only_majority_baseline_f1,primary_only_majority_baseline_balanced_accuracy,primary_only_real_train_f1,primary_only_real_train_balanced_accuracy,primary_only_real_train_roc_auc,primary_only_utility_evaluable,primary_only_utility_failure_reason,primary_only_tstr_balanced_accuracy,primary_only_tstr_roc_auc,primary_only_tstr_f1_gain_over_majority,primary_only_tstr_f1_gap_to_real_train,primary_only_tstr_f1_relative_to_real_train,primary_only_numeric_fidelity_distance,primary_only_categorical_fidelity_distance,primary_only_target_distribution_distance,primary_only_target_distribution_tv,primary_only_correlation_distance,primary_only_correlation_distance_reason,primary_only_ks_mean,primary_only_tv_mean,primary_only_target_conditioned_numeric_distance,primary_only_target_conditioned_categorical_distance,primary_only_target_conditioned_distribution_distance,primary_only_target_conditioned_missing_class_count,primary_only_feature_target_mean_dependency_distance,primary_only_categorical_diversity_mean,primary_only_numeric_std_ratio,primary_only_fairness_evaluable,primary_only_fairness_failure_reason,primary_only_positive_rate_male,primary_only_positive_rate_female,primary_only_adult_demographic_parity_difference,primary_only_demographic_parity_difference_abs,primary_only_real_train_adult_demographic_parity_difference,primary_only_real_train_demographic_parity_difference_abs,primary_only_real_test_adult_demographic_parity_difference,primary_only_real_test_demographic_parity_difference_abs,primary_only_dpd_abs_difference_to_real_train,primary_only_dpd_abs_difference_to_real_test,primary_only_validation_runtime_seconds,primary_only_evaluation_runtime_seconds,repair_attempts
adult,ctgan,100,42,500,success,,True,ctgan,False,,,0,0.0,0,500,0,0.0,0.0282661914825439,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2500.0,2495.0,0.998,5.0,0.0,0.0,,True,schema_normalization,0.998,1.0,,False,ctgan,ctgan_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2495,500,0,0.0,0,0,,,success,500,1.6992249488830566,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.0363912054586808,0.488407635352399,0.4454220341697122,0.0363912054586808,0.5138406337994336,0.066137949246535,0.2853333333333334,0.0946666666666666,0.036,0.036,0.1103536990104441,,0.131588424752611,0.2853333333333334,0.0946666666666666,0.2930954013306954,0.19058673352791,0.2418410674293027,0,0.0561796400710706,1.0,0.8611022447143594,True,,0.3058419243986254,0.2583732057416268,0.0474687186569986,0.0474687186569986,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.2213484856440766,0.1492262699540754,0.0099310874938964,0.1213281154632568,500,1.8356170654296875,1.8356170654296875,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan_strong,100,42,500,success,,True,ctgan_strong,False,,,0,0.0,0,500,0,0.0,0.0277960300445556,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,300.0,2500.0,2485.0,0.994,15.0,0.0,0.0,,True,schema_normalization,0.994,1.0,,False,ctgan_strong,ctgan_strong_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2485,500,0,0.0,0,0,,,success,500,10.339216232299805,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.1210778885197489,0.517051716998062,0.5507203582666778,0.1210778885197489,0.4291539507383654,0.220048859191791,0.2726666666666666,0.0626666666666666,0.028,0.028,0.1431072155625442,,0.1266101372239693,0.2726666666666666,0.0626666666666666,0.3272651020457872,0.164404432132964,0.2458347670893756,0,0.0813519692717025,1.0,0.9223521583766976,True,,0.273015873015873,0.2864864864864865,-0.0134706134706135,0.0134706134706135,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.2553465908304617,0.1832243751404605,0.0098917484283447,0.1202280521392822,500,10.473682880401611,10.473682880401611,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,direct_icl,100,42,500,success,,True,llm_direct_rows,True,insufficient_valid_direct_icl_rows,validation_refill,169,0.338,169,331,169,0.338,0.2573587894439697,24,24,0,llama3.2:3b,0.5,0.9,2200.0,,,,,,,,,,,,331.0,516.0,0.6414728682170543,331.0,0.662,0.5411224343332854,0.2001281994822493,0.0,6.0,,,,,,,,,,,,,,False,direct_icl_primary_valid,direct_icl_repair_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,331,500,169,0.338,169,1,direct_icl_refill,direct_icl_repair_fallback,success,500,495.15478801727295,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.5114546470478674,0.6769233585957921,0.7475585202552065,0.5114546470478674,0.038777192210247,0.9295257208987928,0.15,0.143,0.2239999999999999,0.2239999999999999,0.0690915079781296,,0.1465228769945324,0.15,0.143,0.1887573331622039,0.2079516345531651,0.1983544838576845,0,0.0220122226046709,1.0,0.9477214441611772,True,,0.5120481927710844,0.3988095238095238,0.1132386689615605,0.1132386689615605,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.1555785353395147,0.0834563196495135,0.0192430019378662,0.2103080749511718,500,495.3884541988373,495.3884541988373,500,True,True,True,True,True,True,True,True,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.7105732168185795,0.7866629876350639,0.5411224343332854,0.0091094049248289,0.9834444241956058,0.1686002014098691,0.2054481369587109,0.3421450151057401,0.3421450151057401,0.0843194444546771,,0.1686002014098691,0.2054481369587109,0.1856802721088435,0.2538397581254724,0.2197600151171579,0.0,0.0170026942214707,0.9166666666666666,0.9519841609860858,True,,0.6497695852534562,0.4824561403508772,0.167313444902579,0.167313444902579,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.1015037593984962,0.029381543708495,0.0163557529449462,0.2035751342773437,
adult,code_llm,100,42,500,success,,True,llm_generated_code,False,,,0,0.0,0,500,0,0.0,0.0341517925262451,1,1,0,llama3.2:3b,0.1,0.9,1800.0,code_llm_v2_scaffolded,Code-LLM-v2,1.0,1.0,1.0,1.0,0.0,0.0,,,500.0,500.0,500.0,1.0,,,,,,,,,,,,,,,,,,,data/generated_code/code_llm_adult_100_seed42.py,False,code_llm_sampler,code_llm_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,16.43576407432556,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.0932967463739709,0.5153617804354277,0.61163478776929,0.0932967463739709,0.4569350928841433,0.1695589744493237,0.146,0.0446666666666666,0.002,0.002,0.1374033036605036,,0.0825174925817925,0.146,0.0446666666666666,0.2657490875137934,0.1471214950626715,0.2064352912882324,0,0.0513819574282499,1.0,0.8556240306257092,True,,0.2777777777777778,0.1962025316455696,0.0815752461322081,0.0815752461322081,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.187241958168867,0.1151197424788658,0.0168759822845459,0.197596788406372,500,16.658004999160767,16.658004999160767,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
adult,fallback_only,100,42,500,success,,True,schema_independent_fallback,True,fallback_only_baseline,baseline,500,1.0,500,0,0,0.0,0.0366520881652832,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,False,none,fallback_only,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,0.2992279529571533,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.006433453960595,0.4876678236685603,0.317529729703749,0.006433453960595,0.5437983852975192,0.0116922604283849,0.134,0.0543333333333333,0.006,0.006,0.1258109116169752,,0.0800360612375771,0.134,0.0543333333333333,0.2445427472749877,0.1894466128892358,0.2169946800821117,0,0.0477330459214786,1.0,0.8587578928909231,True,,0.2434782608695652,0.2451612903225806,-0.0016830294530154,0.0016830294530154,0.2688172043010752,0.2688172043010752,0.196694988611074,0.196694988611074,0.2671341748480598,0.1950119591580586,0.0172750949859619,0.2007930278778076,500,0.5251541137695312,0.5251541137695312,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan,100,123,500,success,,True,ctgan,False,,,0,0.0,0,500,0,0.0,0.0288631916046142,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2500.0,2458.0,0.9832,42.0,0.0,0.0,,True,schema_normalization,0.9832,1.0,,False,ctgan,ctgan_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2458,500,0,0.0,0,0,,,success,500,1.8818638324737549,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.0370808678500986,0.4955554696861877,0.6317010255163567,0.0370808678500986,0.5183626805369981,0.0667590216103408,0.3226666666666666,0.0936666666666666,0.0,0.0,0.0817854517885318,,0.1245296962804663,0.3226666666666666,0.0936666666666666,0.3911111111111111,0.1817777777777778,0.2864444444444445,0,0.1004983236521396,1.0,0.8642721911965986,True,,0.2491582491582491,0.2512315270935961,-0.0020732779353469,0.0020732779353469,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.2199931082264108,0.1946217106757271,0.0104329586029052,0.1212282180786132,500,2.021048069000244,2.021048069000244,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan_strong,100,123,500,success,,True,ctgan_strong,False,,,0,0.0,0,500,0,0.0,0.0279014110565185,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,300.0,2500.0,2499.0,0.9996,1.0,0.0,0.0,,True,schema_normalization,0.9996,1.0,,False,ctgan_strong,ctgan_strong_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2499,500,0,0.0,0,0,,,success,500,10.420079946517944,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.1268143621084797,0.524206286666466,0.4953343420102994,0.1268143621084797,0.428629186278617,0.2283118824167185,0.2213333333333333,0.0616666666666666,0.006,0.006,0.1029150848007195,,0.0979787712001798,0.2213333333333333,0.0616666666666666,0.3264657241159973,0.1745265562205452,0.2504961401682713,0,0.0887711380217851,1.0,0.8897735246832573,True,,0.260233918128655,0.2088607594936709,0.051373158634984,0.051373158634984,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.1706932275267737,0.1453218299760899,0.0098669528961181,0.1155829429626464,500,10.549938917160034,10.549938917160034,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,direct_icl,100,123,500,success,,True,llm_direct_rows,True,insufficient_valid_direct_icl_rows,validation_refill,191,0.382,191,309,191,0.382,0.1445097923278808,23,23,0,llama3.2:3b,0.5,0.9,2200.0,,,,,,,,,,,,309.0,502.0,0.6155378486055777,309.0,0.618,0.5091589784730579,0.2111912309323022,0.0,4.0,,,,,,,,,,,,,,False,direct_icl_primary_valid,direct_icl_repair_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,309,500,191,0.382,191,1,direct_icl_refill,direct_icl_repair_fallback,success,500,580.4701182842255,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.4194674814491488,0.6138143483750326,0.6714742199217664,0.4194674814491488,0.1359760669379479,0.7551937234075421,0.1346666666666666,0.1533333333333333,0.214,0.214,0.0586697124723346,,0.1401674281180836,0.1346666666666666,0.1533333333333333,0.1767823240121233,0.2175282352604792,0.1971552796363012,0,0.0411186240127036,1.0,0.9704529191370568,True,,0.4909090909090909,0.4117647058823529,0.0791443850267379,0.0791443850267379,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.1429220011350198,0.117550603584336,0.0097739696502685,0.1135401725769043,500,580.5975570678711,580.5975570678711,500,True,True,True,True,True,True,True,True,309.0,309.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.6791266351684896,0.7638231201206769,0.5091589784730579,0.0462845699140388,0.9166709739478648,0.1647033441208198,0.2258899676375404,0.3648867313915858,0.3648867313915858,0.0892848805792628,,0.1647033441208198,0.2258899676375404,0.1786589021573541,0.2761030026045506,0.2273809523809524,0.0,0.0340498342228366,0.9428571428571428,0.9222913916953324,True,,0.6780487804878049,0.4903846153846153,0.1876641651031895,0.1876641651031895,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.0344022210585682,0.0090308235078845,0.0091910362243652,0.1171700954437255,
adult,code_llm,100,123,500,success,,True,llm_generated_code,False,,,0,0.0,0,500,0,0.0,0.0198221206665039,1,1,0,llama3.2:3b,0.1,0.9,1800.0,code_llm_v2_scaffolded,Code-LLM-v2,1.0,1.0,1.0,1.0,0.0,0.0,,,500.0,500.0,500.0,1.0,,,,,,,,,,,,,,,,,,,data/generated_code/code_llm_adult_100_seed123.py,False,code_llm_sampler,code_llm_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,15.469762086868286,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.0008554319931565,0.4963910938765247,0.4226746273051603,0.0008554319931565,0.5545881163939402,0.0015400880893126,0.1353333333333333,0.05,0.028,0.028,0.0995590950320357,,0.0782231070913422,0.1353333333333333,0.05,0.230012737673406,0.1901381844569505,0.2100754610651782,0,0.0605943308681425,1.0,0.9128278138571024,True,,0.2151162790697674,0.2371794871794871,-0.0220632081097197,0.0220632081097197,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.200003178052038,0.1746317805013543,0.0100839138031005,0.1129100322723388,500,15.597477912902832,15.597477912902832,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
adult,fallback_only,100,123,500,success,,True,schema_independent_fallback,True,fallback_only_baseline,baseline,500,1.0,500,0,0,0.0,0.0206570625305175,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,False,none,fallback_only,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,0.1698429584503173,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.0093101988997037,0.4974968903624128,0.487713484810271,0.0093101988997037,0.546133349487393,0.0167617374020075,0.1273333333333333,0.061,0.002,0.002,0.0982723385988504,,0.0721514179830459,0.1273333333333333,0.061,0.2274617321676145,0.1865090682737741,0.2069854002206943,0,0.0554628399792712,1.0,0.8893586475435639,True,,0.2674418604651162,0.2179487179487179,0.0494931425163983,0.0494931425163983,0.2220663861617578,0.2220663861617578,0.196694988611074,0.196694988611074,0.1725732436453595,0.1472018460946757,0.0099709033966064,0.1166329383850097,500,0.3004150390625,0.3004150390625,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
