dataset,method,train_size,seed,target_rows,status,error,method_success,effective_generator,fallback_used,fallback_reason,fallback_stage,fallback_rows,fallback_fraction,fallback_or_refill_rows,primary_generator_rows,repair_rows,repair_fraction,repair_runtime_seconds,llm_calls,llm_attempts,llm_repair_attempts,ollama_model,ollama_temperature,ollama_top_p,ollama_num_predict,code_llm_mode,code_llm_scaffold_version,code_llm_generation_success,code_llm_compile_success,code_llm_runtime_success,code_llm_validation_success,code_llm_repair_success,code_llm_fallback_used,code_llm_fallback_reason,code_llm_failure_stage,llm_generated_rows,llm_valid_rows,llm_raw_rows,llm_valid_fraction,primary_only_rows,primary_only_fraction_of_target,primary_only_tstr_f1,primary_only_distribution_distance_mean,parse_error_count,invalid_format_rows,ctgan_epochs_used,ctgan_raw_sampled_rows,ctgan_raw_valid_rows,ctgan_raw_valid_rate,ctgan_rejection_rows,ctgan_repair_rows,ctgan_repair_fraction,fallback_only_rows,postprocessing_used,postprocessing_type,raw_valid_rate,final_valid_rate,code_path,timeout_used,provenance_primary_source,provenance_fallback_source,format_valid,schema_valid,category_valid,range_valid,constraint_valid,target_valid,duplicate_valid,privacy_valid,raw_row_count,raw_valid_row_count,final_valid_row_count,invalid_format_count,invalid_category_count,invalid_range_count,invalid_constraint_count,invalid_target_count,invalid_duplicate_count,unknown_category_rate,constraint_violation_rate,invalid_row_rate,duplicate_rate,exact_train_duplicate_rate,unique_row_fraction,removed_internal_duplicates,removed_train_duplicates,initial_valid_rows,final_valid_rows,repair_fallback_rows,repair_fallback_fraction,dedup_refill_rows,refill_attempts,repair_reason,repair_source,generation_status,raw_valid_rows,generation_runtime_seconds,majority_baseline_f1,majority_baseline_balanced_accuracy,real_train_f1,real_train_balanced_accuracy,real_train_roc_auc,utility_evaluable,utility_failure_reason,tstr_f1,tstr_balanced_accuracy,tstr_roc_auc,tstr_f1_gain_over_majority,tstr_f1_gap_to_real_train,tstr_f1_relative_to_real_train,numeric_fidelity_distance,categorical_fidelity_distance,target_distribution_distance,target_distribution_tv,correlation_distance,correlation_distance_reason,distribution_distance_mean,ks_mean,tv_mean,target_conditioned_numeric_distance,target_conditioned_categorical_distance,target_conditioned_distribution_distance,target_conditioned_missing_class_count,feature_target_mean_dependency_distance,categorical_diversity_mean,numeric_std_ratio,fairness_evaluable,fairness_failure_reason,positive_rate_male,positive_rate_female,adult_demographic_parity_difference,demographic_parity_difference_abs,real_train_adult_demographic_parity_difference,real_train_demographic_parity_difference_abs,real_test_adult_demographic_parity_difference,real_test_demographic_parity_difference_abs,dpd_abs_difference_to_real_train,dpd_abs_difference_to_real_test,validation_runtime_seconds,evaluation_runtime_seconds,generated_rows,runtime_seconds,total_runtime_seconds,raw_generated_rows,primary_only_format_valid,primary_only_schema_valid,primary_only_category_valid,primary_only_range_valid,primary_only_constraint_valid,primary_only_target_valid,primary_only_duplicate_valid,primary_only_privacy_valid,primary_only_raw_row_count,primary_only_raw_valid_row_count,primary_only_final_valid_row_count,primary_only_invalid_format_count,primary_only_invalid_category_count,primary_only_invalid_range_count,primary_only_invalid_constraint_count,primary_only_invalid_target_count,primary_only_invalid_duplicate_count,primary_only_unknown_category_rate,primary_only_constraint_violation_rate,primary_only_invalid_row_rate,primary_only_duplicate_rate,primary_only_exact_train_duplicate_rate,primary_only_unique_row_fraction,primary_only_majority_baseline_f1,primary_only_majority_baseline_balanced_accuracy,primary_only_real_train_f1,primary_only_real_train_balanced_accuracy,primary_only_real_train_roc_auc,primary_only_utility_evaluable,primary_only_utility_failure_reason,primary_only_tstr_balanced_accuracy,primary_only_tstr_roc_auc,primary_only_tstr_f1_gain_over_majority,primary_only_tstr_f1_gap_to_real_train,primary_only_tstr_f1_relative_to_real_train,primary_only_numeric_fidelity_distance,primary_only_categorical_fidelity_distance,primary_only_target_distribution_distance,primary_only_target_distribution_tv,primary_only_correlation_distance,primary_only_correlation_distance_reason,primary_only_ks_mean,primary_only_tv_mean,primary_only_target_conditioned_numeric_distance,primary_only_target_conditioned_categorical_distance,primary_only_target_conditioned_distribution_distance,primary_only_target_conditioned_missing_class_count,primary_only_feature_target_mean_dependency_distance,primary_only_categorical_diversity_mean,primary_only_numeric_std_ratio,primary_only_fairness_evaluable,primary_only_fairness_failure_reason,primary_only_positive_rate_male,primary_only_positive_rate_female,primary_only_adult_demographic_parity_difference,primary_only_demographic_parity_difference_abs,primary_only_real_train_adult_demographic_parity_difference,primary_only_real_train_demographic_parity_difference_abs,primary_only_real_test_adult_demographic_parity_difference,primary_only_real_test_demographic_parity_difference_abs,primary_only_dpd_abs_difference_to_real_train,primary_only_dpd_abs_difference_to_real_test,primary_only_validation_runtime_seconds,primary_only_evaluation_runtime_seconds,repair_attempts
adult,ctgan,100,42,500,success,,True,ctgan,False,,,0,0.0,0,500,0,0.0,0.028266191482543945,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2500.0,2495.0,0.998,5.0,0.0,0.0,,True,schema_normalization,0.998,1.0,,False,ctgan,ctgan_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2495,500,0,0.0,0,0,,,success,500,1.6992249488830566,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.03639120545868082,0.488407635352399,0.4454220341697122,0.03639120545868082,0.5138406337994336,0.06613794924653509,0.2853333333333334,0.09466666666666668,0.036000000000000004,0.036000000000000004,0.11035369901044417,,0.13158842475261107,0.2853333333333334,0.09466666666666668,0.29309540133069545,0.19058673352791,0.24184106742930273,0,0.05617964007107062,1.0,0.8611022447143594,True,,0.30584192439862545,0.2583732057416268,0.04746871865699864,0.04746871865699864,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.2213484856440766,0.14922626995407542,0.009931087493896484,0.12132811546325684,500,1.8356170654296875,1.8356170654296875,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan_strong,100,42,500,success,,True,ctgan_strong,False,,,0,0.0,0,500,0,0.0,0.027796030044555664,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,300.0,2500.0,2485.0,0.994,15.0,0.0,0.0,,True,schema_normalization,0.994,1.0,,False,ctgan_strong,ctgan_strong_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2485,500,0,0.0,0,0,,,success,500,10.339216232299805,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.12107788851974899,0.517051716998062,0.5507203582666778,0.12107788851974899,0.4291539507383654,0.220048859191791,0.27266666666666667,0.06266666666666666,0.028000000000000025,0.028000000000000025,0.1431072155625442,,0.12661013722396938,0.27266666666666667,0.06266666666666666,0.32726510204578724,0.164404432132964,0.24583476708937563,0,0.08135196927170252,1.0,0.9223521583766977,True,,0.273015873015873,0.2864864864864865,-0.013470613470613513,0.013470613470613513,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.25534659083046174,0.18322437514046055,0.009891748428344727,0.12022805213928223,500,10.473682880401611,10.473682880401611,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,direct_icl,100,42,500,success,,True,llm_direct_rows,True,insufficient_valid_direct_icl_rows,validation_refill,169,0.338,169,331,169,0.338,0.2573587894439697,24,24,0,llama3.2:3b,0.5,0.9,2200.0,,,,,,,,,,,,331.0,516.0,0.6414728682170543,331.0,0.662,0.5411224343332854,0.20012819948224933,0.0,6.0,,,,,,,,,,,,,,False,direct_icl_primary_valid,direct_icl_repair_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,331,500,169,0.338,169,1,direct_icl_refill,direct_icl_repair_fallback,success,500,495.15478801727295,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.5114546470478674,0.6769233585957921,0.7475585202552065,0.5114546470478674,0.038777192210247,0.9295257208987927,0.15,0.14300000000000002,0.22399999999999998,0.22399999999999998,0.0690915079781296,,0.1465228769945324,0.15,0.14300000000000002,0.18875733316220392,0.2079516345531651,0.1983544838576845,0,0.022012222604670947,1.0,0.9477214441611771,True,,0.5120481927710844,0.39880952380952384,0.11323866896156054,0.11323866896156054,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.1555785353395147,0.08345631964951353,0.01924300193786621,0.21030807495117188,500,495.3884541988373,495.3884541988373,500,True,True,True,True,True,True,True,True,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.7105732168185795,0.7866629876350639,0.5411224343332854,0.009109404924828923,0.9834444241956058,0.1686002014098691,0.20544813695871098,0.34214501510574014,0.34214501510574014,0.08431944445467712,,0.1686002014098691,0.20544813695871098,0.18568027210884352,0.2538397581254724,0.21976001511715795,0.0,0.017002694221470705,0.9166666666666666,0.9519841609860858,True,,0.6497695852534562,0.4824561403508772,0.167313444902579,0.167313444902579,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.10150375939849626,0.029381543708495078,0.01635575294494629,0.20357513427734375,
adult,code_llm,100,42,500,success,,True,llm_generated_code,False,,,0,0.0,0,500,0,0.0,0.03415179252624512,1,1,0,llama3.2:3b,0.1,0.9,1800.0,code_llm_v2_scaffolded,Code-LLM-v2,True,True,True,True,False,False,,,500.0,500.0,500.0,1.0,,,,,,,,,,,,,,,,,,,data/generated_code/code_llm_adult_100_seed42.py,False,code_llm_sampler,code_llm_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,16.43576407432556,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.09329674637397099,0.5153617804354277,0.61163478776929,0.09329674637397099,0.45693509288414336,0.1695589744493237,0.146,0.04466666666666667,0.0020000000000000018,0.0020000000000000018,0.13740330366050368,,0.08251749258179258,0.146,0.04466666666666667,0.2657490875137934,0.1471214950626715,0.20643529128823246,0,0.051381957428249914,1.0,0.8556240306257092,True,,0.2777777777777778,0.1962025316455696,0.08157524613220818,0.08157524613220818,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.18724195816886707,0.11511974247886589,0.0168759822845459,0.19759678840637207,500,16.658004999160767,16.658004999160767,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
adult,fallback_only,100,42,500,success,,True,schema_independent_fallback,True,fallback_only_baseline,baseline,500,1.0,500,0,0,0.0,0.0366520881652832,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,False,none,fallback_only,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,0.2992279529571533,0.0,0.5,0.5502318392581144,0.7006162736309056,0.825874651185558,True,,0.006433453960595094,0.4876678236685603,0.317529729703749,0.006433453960595094,0.5437983852975192,0.011692260428384905,0.134,0.05433333333333335,0.006000000000000005,0.006000000000000005,0.12581091161697527,,0.08003606123757716,0.134,0.05433333333333335,0.2445427472749877,0.18944661288923584,0.21699468008211176,0,0.0477330459214786,1.0,0.8587578928909231,True,,0.24347826086956523,0.24516129032258063,-0.0016830294530154055,0.0016830294530154055,0.26881720430107525,0.26881720430107525,0.19669498861107407,0.19669498861107407,0.26713417484805985,0.19501195915805866,0.017275094985961914,0.20079302787780762,500,0.5251541137695312,0.5251541137695312,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan,100,123,500,success,,True,ctgan,False,,,0,0.0,0,500,0,0.0,0.028863191604614258,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2500.0,2458.0,0.9832,42.0,0.0,0.0,,True,schema_normalization,0.9832,1.0,,False,ctgan,ctgan_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2458,500,0,0.0,0,0,,,success,500,1.8818638324737549,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.03708086785009862,0.49555546968618774,0.6317010255163567,0.03708086785009862,0.5183626805369981,0.06675902161034089,0.32266666666666666,0.09366666666666668,0.0,0.0,0.08178545178853186,,0.1245296962804663,0.32266666666666666,0.09366666666666668,0.39111111111111113,0.18177777777777782,0.2864444444444445,0,0.10049832365213968,1.0,0.8642721911965986,True,,0.24915824915824916,0.2512315270935961,-0.0020732779353469233,0.0020732779353469233,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.21999310822641088,0.19462171067572714,0.010432958602905273,0.12122821807861328,500,2.021048069000244,2.021048069000244,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,ctgan_strong,100,123,500,success,,True,ctgan_strong,False,,,0,0.0,0,500,0,0.0,0.027901411056518555,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,300.0,2500.0,2499.0,0.9996,1.0,0.0,0.0,,True,schema_normalization,0.9996,1.0,,False,ctgan_strong,ctgan_strong_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2499,500,0,0.0,0,0,,,success,500,10.420079946517944,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.12681436210847977,0.524206286666466,0.49533434201029947,0.12681436210847977,0.428629186278617,0.22831188241671857,0.22133333333333335,0.061666666666666675,0.006000000000000005,0.006000000000000005,0.1029150848007195,,0.09797877120017988,0.22133333333333335,0.061666666666666675,0.32646572411599734,0.17452655622054528,0.2504961401682713,0,0.08877113802178511,1.0,0.8897735246832573,True,,0.260233918128655,0.2088607594936709,0.051373158634984095,0.051373158634984095,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.1706932275267737,0.14532182997608997,0.009866952896118164,0.11558294296264648,500,10.549938917160034,10.549938917160034,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult,direct_icl,100,123,500,success,,True,llm_direct_rows,True,insufficient_valid_direct_icl_rows,validation_refill,191,0.382,191,309,191,0.382,0.14450979232788086,23,23,0,llama3.2:3b,0.5,0.9,2200.0,,,,,,,,,,,,309.0,502.0,0.6155378486055777,309.0,0.618,0.5091589784730579,0.21119123093230224,0.0,4.0,,,,,,,,,,,,,,False,direct_icl_primary_valid,direct_icl_repair_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,309,500,191,0.382,191,1,direct_icl_refill,direct_icl_repair_fallback,success,500,580.4701182842255,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.41946748144914886,0.6138143483750326,0.6714742199217664,0.41946748144914886,0.1359760669379479,0.7551937234075421,0.13466666666666668,0.15333333333333332,0.214,0.214,0.058669712472334684,,0.14016742811808366,0.13466666666666668,0.15333333333333332,0.17678232401212332,0.21752823526047924,0.19715527963630128,0,0.04111862401270362,1.0,0.9704529191370567,True,,0.4909090909090909,0.4117647058823529,0.07914438502673798,0.07914438502673798,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.14292200113501982,0.11755060358433608,0.009773969650268555,0.1135401725769043,500,580.5975570678711,580.5975570678711,500,True,True,True,True,True,True,True,True,309.0,309.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.6791266351684896,0.7638231201206769,0.5091589784730579,0.04628456991403884,0.9166709739478647,0.16470334412081986,0.22588996763754043,0.3648867313915858,0.3648867313915858,0.08928488057926283,,0.16470334412081986,0.22588996763754043,0.17865890215735417,0.2761030026045506,0.2273809523809524,0.0,0.03404983422283665,0.9428571428571427,0.9222913916953325,True,,0.6780487804878049,0.49038461538461536,0.18766416510318956,0.18766416510318956,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.034402221058568244,0.009030823507884506,0.009191036224365234,0.11717009544372559,
adult,code_llm,100,123,500,success,,True,llm_generated_code,False,,,0,0.0,0,500,0,0.0,0.019822120666503906,1,1,0,llama3.2:3b,0.1,0.9,1800.0,code_llm_v2_scaffolded,Code-LLM-v2,True,True,True,True,False,False,,,500.0,500.0,500.0,1.0,,,,,,,,,,,,,,,,,,,data/generated_code/code_llm_adult_100_seed123.py,False,code_llm_sampler,code_llm_postprocess_fallback,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,15.469762086868286,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.000855431993156544,0.4963910938765247,0.42267462730516037,0.000855431993156544,0.5545881163939402,0.0015400880893126892,0.13533333333333333,0.05000000000000001,0.02800000000000001,0.02800000000000001,0.0995590950320357,,0.07822310709134227,0.13533333333333333,0.05000000000000001,0.23001273767340602,0.19013818445695052,0.21007546106517827,0,0.0605943308681425,1.0,0.9128278138571023,True,,0.21511627906976744,0.23717948717948717,-0.022063208109719734,0.022063208109719734,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.20000317805203807,0.17463178050135433,0.010083913803100586,0.11291003227233887,500,15.597477912902832,15.597477912902832,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
adult,fallback_only,100,123,500,success,,True,schema_independent_fallback,True,fallback_only_baseline,baseline,500,1.0,500,0,0,0.0,0.020657062530517578,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,False,none,fallback_only,True,True,True,True,True,True,True,True,500,500,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,500,500,0,0.0,0,0,,,success,500,0.16984295845031738,0.0,0.5,0.5554435483870968,0.6992096321988711,0.8382348439792938,True,,0.009310198899703767,0.49749689036241285,0.48771348481027105,0.009310198899703767,0.546133349487393,0.01676173740200751,0.12733333333333333,0.06100000000000002,0.0020000000000000018,0.0020000000000000018,0.09827233859885048,,0.07215141798304596,0.12733333333333333,0.06100000000000002,0.22746173216761453,0.18650906827377411,0.20698540022069434,0,0.05546283997927121,1.0,0.8893586475435639,True,,0.26744186046511625,0.21794871794871795,0.0494931425163983,0.0494931425163983,0.2220663861617578,0.2220663861617578,0.19669498861107407,0.19669498861107407,0.1725732436453595,0.14720184609467576,0.009970903396606445,0.11663293838500977,500,0.3004150390625,0.3004150390625,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
